,year,hh_address,farmer_id,foodsec,location_type,location_name
1,2021,FAK-01-001,013a87257552101c55da5dc3012319ba2fca5067cab,Food secure ,region,West Africa
2,2021,FAK-01-001,013a87257552101c55da5dc3012319ba2fca5067cab,Food secure ,country,Niger
3,2021,FAK-01-001,013a87257552101c55da5dc3012319ba2fca5067cab,Food secure ,site,Fakara
4,2021,FAK-01-001,013a87257552101c55da5dc3012319ba2fca5067cab,Food secure ,community,Touliel
5,2021,FAK-03-047,013ae9d57ac6a995d7d2e82a3a739ca36caa525cafc,Severely food insecure ,region,West Africa
6,2021,FAK-03-047,013ae9d57ac6a995d7d2e82a3a739ca36caa525cafc,Severely food insecure ,country,Niger
7,2021,FAK-03-047,013ae9d57ac6a995d7d2e82a3a739ca36caa525cafc,Severely food insecure ,site,Fakara
8,2021,FAK-03-047,013ae9d57ac6a995d7d2e82a3a739ca36caa525cafc,Severely food insecure ,community,Kampa Zarma
9,2021,FAK-03-078,01cae045757d82c85da23c210a7c51ca33005c7840d,Severely food insecure ,region,West Africa
10,2021,FAK-03-078,01cae045757d82c85da23c210a7c51ca33005c7840d,Severely food insecure ,country,Niger
11,2021,FAK-03-078,01cae045757d82c85da23c210a7c51ca33005c7840d,Severely food insecure ,site,Fakara
12,2021,FAK-03-078,01cae045757d82c85da23c210a7c51ca33005c7840d,Severely food insecure ,community,Kampa Zarma
13,2021,FAK-03-050,01da859575af4852f649bb75c27ddbb28ef9d8fbde6,Food secure ,region,West Africa
14,2021,FAK-03-050,01da859575af4852f649bb75c27ddbb28ef9d8fbde6,Food secure ,country,Niger
15,2021,FAK-03-050,01da859575af4852f649bb75c27ddbb28ef9d8fbde6,Food secure ,site,Fakara
16,2021,FAK-03-050,01da859575af4852f649bb75c27ddbb28ef9d8fbde6,Food secure ,community,Kampa Zarma
17,2021,FAK-06-005,03ca50357ed66eaccc68a95d7597149cd406e22201e,Severely food insecure ,region,West Africa
18,2021,FAK-06-005,03ca50357ed66eaccc68a95d7597149cd406e22201e,Severely food insecure ,country,Niger
19,2021,FAK-06-005,03ca50357ed66eaccc68a95d7597149cd406e22201e,Severely food insecure ,site,Fakara
20,2021,FAK-06-005,03ca50357ed66eaccc68a95d7597149cd406e22201e,Severely food insecure ,community,Kida Tafa Kouara 
21,2021,FAK-02-016,05baf13573c0d7a6637d790d86c4dd433da7b510b15,Moderately food insecure ,region,West Africa
22,2021,FAK-02-016,05baf13573c0d7a6637d790d86c4dd433da7b510b15,Moderately food insecure ,country,Niger
23,2021,FAK-02-016,05baf13573c0d7a6637d790d86c4dd433da7b510b15,Moderately food insecure ,site,Fakara
24,2021,FAK-02-016,05baf13573c0d7a6637d790d86c4dd433da7b510b15,Moderately food insecure ,community,Baboussay
25,2021,FAK-05-007,064abee57cd559b320f05b5f834e3602c155e0c73fb,Severely food insecure ,region,West Africa
26,2021,FAK-05-007,064abee57cd559b320f05b5f834e3602c155e0c73fb,Severely food insecure ,country,Niger
27,2021,FAK-05-007,064abee57cd559b320f05b5f834e3602c155e0c73fb,Severely food insecure ,site,Fakara
28,2021,FAK-05-007,064abee57cd559b320f05b5f834e3602c155e0c73fb,Severely food insecure ,community,Maourey Kouara Zeno 
29,2021,FAK-03-001,096a8de571a4b752031b9ed1106ad131b0c8608fbca,Food secure ,region,West Africa
30,2021,FAK-03-001,096a8de571a4b752031b9ed1106ad131b0c8608fbca,Food secure ,country,Niger
31,2021,FAK-03-001,096a8de571a4b752031b9ed1106ad131b0c8608fbca,Food secure ,site,Fakara
32,2021,FAK-03-001,096a8de571a4b752031b9ed1106ad131b0c8608fbca,Food secure ,community,Kampa Zarma
33,2021,FAK-03-053,09daecc57905c8abddc118d96e9e0a88007fcac9cc0,Severely food insecure ,region,West Africa
34,2021,FAK-03-053,09daecc57905c8abddc118d96e9e0a88007fcac9cc0,Severely food insecure ,country,Niger
35,2021,FAK-03-053,09daecc57905c8abddc118d96e9e0a88007fcac9cc0,Severely food insecure ,site,Fakara
36,2021,FAK-03-053,09daecc57905c8abddc118d96e9e0a88007fcac9cc0,Severely food insecure ,community,Kampa Zarma
37,2021,FAK-03-041,0bfa42a576178eee7d0502d636e42ee6f31c88826d2,Moderately food insecure ,region,West Africa
38,2021,FAK-03-041,0bfa42a576178eee7d0502d636e42ee6f31c88826d2,Moderately food insecure ,country,Niger
39,2021,FAK-03-041,0bfa42a576178eee7d0502d636e42ee6f31c88826d2,Moderately food insecure ,site,Fakara
40,2021,FAK-03-041,0bfa42a576178eee7d0502d636e42ee6f31c88826d2,Moderately food insecure ,community,Kampa Zarma
41,2021,FAK-03-054,0e8a3fd57cebe41665c815628be43e469b4e20d7059,Moderately food insecure ,region,West Africa
42,2021,FAK-03-054,0e8a3fd57cebe41665c815628be43e469b4e20d7059,Moderately food insecure ,country,Niger
43,2021,FAK-03-054,0e8a3fd57cebe41665c815628be43e469b4e20d7059,Moderately food insecure ,site,Fakara
44,2021,FAK-03-054,0e8a3fd57cebe41665c815628be43e469b4e20d7059,Moderately food insecure ,community,Kampa Zarma
45,2021,FAK-05-002,0e9a93c571c17ccb9c8c6090fc762bab036809e8c53,Severely food insecure ,region,West Africa
46,2021,FAK-05-002,0e9a93c571c17ccb9c8c6090fc762bab036809e8c53,Severely food insecure ,country,Niger
47,2021,FAK-05-002,0e9a93c571c17ccb9c8c6090fc762bab036809e8c53,Severely food insecure ,site,Fakara
48,2021,FAK-05-002,0e9a93c571c17ccb9c8c6090fc762bab036809e8c53,Severely food insecure ,community,Maourey Kouara Zeno 
49,2021,FAK-06-017,0efafa457a8127492d1b6a44899ab013578aa9b1775,Severely food insecure ,region,West Africa
50,2021,FAK-06-017,0efafa457a8127492d1b6a44899ab013578aa9b1775,Severely food insecure ,country,Niger
51,2021,FAK-06-017,0efafa457a8127492d1b6a44899ab013578aa9b1775,Severely food insecure ,site,Fakara
52,2021,FAK-06-017,0efafa457a8127492d1b6a44899ab013578aa9b1775,Severely food insecure ,community,Kida Tafa Kouara 
53,2021,FAK-03-080,0fbaa4a57ce0fe961714b08d36eff3a87f266b291ed,Moderately food insecure ,region,West Africa
